ticker,corporate_name,asset_turnover,cagr_earnings_5y,cagr_revenue_5y,cash,close_price,current_assets,current_liabilities,current_ratio,debt_equity,ebit,ebit_margin,ebit_over_assets,ebitda,ebitda_margin,equity,ev_ebit,ev_ebitda,gross_margin,lpa,market_cap,net_debt,net_debt_ebit,net_debt_ebitda,net_debt_equity,net_income,net_margin,net_revenue,p_assets,p_ebit,p_ebitda,p_sr,pl,pvp,reference_date,roa,roe,roic,shares_outstanding,total_assets,total_debt,vpa
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.14,-1.09,3.75,766341.0,68.68,1109223.0,514126.0,2.16,0.52,734143.0,62.77,8.6,783787.0,67.01,5273928.0,50.68,47.47,76.61,0.81,35244082984.68,1960461.0,2.67,2.5,0.37,413258.0,35.22,1169612.0,4.13,48.01,44.97,30.13,85.28,6.68,2018-03-31,4.83,7.84,6.7,513163701,8536529.0,2726802.0,10.28
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.13,-1.09,3.75,896031.0,70.9,1299500.0,699364.0,1.86,0.53,694815.0,60.09,8.04,877187.0,75.86,5185089.0,55.01,43.57,76.36,0.72,36383306400.9,1837682.0,2.64,2.09,0.35,369401.0,31.87,1156379.0,4.21,52.36,41.48,31.46,98.49,7.02,2017-12-31,4.26,7.12,6.53,513163701,8644402.0,2733713.0,10.1
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.13,0.19,10.42,1070860.0,73.33,1442779.0,679949.0,2.12,0.56,666154.0,58.91,7.64,801703.0,70.89,5128525.0,59.21,49.2,76.77,0.64,37630294194.33,1815307.0,2.73,2.26,0.35,329464.0,29.1,1130879.0,4.31,56.49,46.94,33.28,114.22,7.34,2017-09-30,3.77,6.42,6.33,513163701,8724975.0,2886167.0,9.99
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.13,0.19,10.42,1005173.0,65.32,1402067.0,693976.0,2.02,0.56,685542.0,61.02,7.97,775542.0,69.04,5112306.0,51.59,45.6,76.88,0.81,33519852949.32,1846990.0,2.69,2.38,0.36,416440.0,28.27,1123386.0,3.9,48.9,43.22,29.84,80.49,6.56,2017-06-30,3.69,8.15,6.5,513163701,8604258.0,2852163.0,9.96
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.13,0.19,10.42,1105315.0,66.3,1474490.0,729372.0,2.02,0.57,645201.0,58.14,7.46,690027.0,62.18,5107292.0,55.5,51.89,76.28,0.58,34022753376.3,1785522.0,2.77,2.59,0.35,296139.0,26.67,1109785.0,3.93,52.73,49.31,30.66,114.89,6.66,2017-03-31,3.42,5.8,6.18,513163701,8650829.0,2890837.0,9.95
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.14,0.19,10.42,467368.0,59.38,897945.0,717024.0,1.25,0.65,671495.0,60.5,8.44,828051.0,74.6,4450170.0,48.98,39.72,76.48,0.61,30471660565.38,2414921.0,3.6,2.92,0.54,311941.0,28.09,1109950.0,3.83,45.38,36.8,27.45,97.68,6.85,2016-12-31,3.92,7.01,6.46,513163701,7954446.0,2882289.0,8.67
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.14,9.59,12.0,670862.0,63.2,1068436.0,469607.0,2.28,0.58,652919.0,60.87,8.76,768042.0,71.6,4362511.0,52.51,44.64,76.88,0.7,32431945903.2,1852658.0,2.84,2.41,0.42,361659.0,33.71,1072611.0,4.35,49.67,42.23,30.24,89.68,7.43,2016-09-30,4.85,8.29,6.93,513163701,7452967.0,2523520.0,8.5
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.15,9.59,12.0,325211.0,60.26,751847.0,451025.0,1.67,0.51,661223.0,61.43,9.39,738626.0,68.63,4276235.0,49.58,44.38,76.88,0.52,30923244622.26,1859531.0,2.81,2.52,0.43,265892.0,33.86,1076321.0,4.39,46.77,41.87,28.73,116.3,7.23,2016-06-30,5.18,6.22,7.11,513163701,7040433.0,2184742.0,8.33
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.15,9.59,12.0,454621.0,53.7,832099.0,546242.0,1.52,0.51,659468.0,61.13,9.3,698065.0,64.7,4259496.0,44.42,41.96,77.49,0.71,27556890743.7,1735951.0,2.63,2.49,0.41,362671.0,33.6,1078856.0,3.88,41.79,39.48,25.54,75.98,6.47,2016-03-31,5.11,8.51,7.26,513163701,7094249.0,2190572.0,8.3
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.15,9.59,12.0,372312.0,38.0,786435.0,540258.0,1.46,0.52,653868.0,61.39,9.32,807706.0,75.84,4181259.0,32.58,26.37,77.35,0.71,19500220638.0,1800752.0,2.75,2.23,0.43,362185.0,33.99,1065030.0,2.78,29.82,24.14,18.31,53.84,4.66,2015-12-31,5.16,8.66,7.21,513163701,7014259.0,2173064.0,8.15
